id_res_temp,valor_prediccion,fecha,hora
0,0.623,2024-10-04,05:11:33
1,0.624,2024-10-04,05:11:33
2,0.625,2024-10-04,05:11:33
3,0.613,2024-10-04,05:11:33
4,0.582,2024-10-04,05:11:33
5,0.550,2024-10-04,05:11:33
6,0.537,2024-10-04,05:11:33
7,0.555,2024-10-04,05:11:33
8,0.543,2024-10-04,05:11:33
9,0.549,2024-10-04,05:11:33
10,0.550,2024-10-04,05:11:33
11,0.561,2024-10-04,05:11:33
12,0.564,2024-10-04,05:11:33
13,0.568,2024-10-04,05:11:34
14,0.544,2024-10-04,05:11:34
15,0.519,2024-10-04,05:11:34
16,0.530,2024-10-04,05:11:34
17,0.503,2024-10-04,05:11:34
18,0.509,2024-10-04,05:11:34
19,0.504,2024-10-04,05:11:34
20,0.506,2024-10-04,05:11:34
21,0.512,2024-10-04,05:11:34
22,0.511,2024-10-04,05:11:34
23,0.512,2024-10-04,05:11:34
24,0.500,2024-10-04,05:11:34
25,0.506,2024-10-04,05:11:34
26,0.509,2024-10-04,05:11:34
27,0.497,2024-10-04,05:11:34
28,0.518,2024-10-04,05:11:34
29,0.530,2024-10-04,05:11:35
30,0.549,2024-10-04,05:11:35
31,0.569,2024-10-04,05:11:35
32,0.565,2024-10-04,05:11:35
33,0.577,2024-10-04,05:11:35
34,0.594,2024-10-04,05:11:35
35,0.603,2024-10-04,05:11:35
36,0.603,2024-10-04,05:11:35
37,0.606,2024-10-04,05:11:35
38,0.602,2024-10-04,05:11:35
39,0.601,2024-10-04,05:11:35
40,0.600,2024-10-04,05:11:35
41,0.594,2024-10-04,05:11:35
42,0.559,2024-10-04,05:11:35
43,0.563,2024-10-04,05:11:35
44,0.546,2024-10-04,05:11:35
45,0.558,2024-10-04,05:11:36
46,0.536,2024-10-04,05:11:36
47,0.560,2024-10-04,05:11:36
48,0.584,2024-10-04,05:11:36
49,0.570,2024-10-04,05:11:36
50,0.570,2024-10-04,05:11:36
51,0.570,2024-10-04,05:11:36
52,0.566,2024-10-04,05:11:36
53,0.606,2024-10-04,05:11:36
54,0.592,2024-10-04,05:11:36
55,0.618,2024-10-04,05:11:36
56,0.643,2024-10-04,05:11:36
57,0.635,2024-10-04,05:11:36
58,0.635,2024-10-04,05:11:36
59,0.647,2024-10-04,05:11:36
60,0.632,2024-10-04,05:11:36
61,0.630,2024-10-04,05:11:37
62,0.626,2024-10-04,05:11:37
63,0.607,2024-10-04,05:11:37
64,0.632,2024-10-04,05:11:37
65,0.656,2024-10-04,05:11:37
66,0.661,2024-10-04,05:11:37
67,0.671,2024-10-04,05:11:37
68,0.679,2024-10-04,05:11:37
69,0.702,2024-10-04,05:11:37
70,0.708,2024-10-04,05:11:37
71,0.723,2024-10-04,05:11:37
72,0.735,2024-10-04,05:11:37
73,0.739,2024-10-04,05:11:37
74,0.737,2024-10-04,05:11:37
75,0.720,2024-10-04,05:11:37
76,0.716,2024-10-04,05:11:38
77,0.686,2024-10-04,05:11:38
78,0.667,2024-10-04,05:11:38
79,0.642,2024-10-04,05:11:38
80,0.623,2024-10-04,05:11:38
81,0.599,2024-10-04,05:11:38
82,0.586,2024-10-04,05:11:38
83,0.578,2024-10-04,05:11:38
84,0.571,2024-10-04,05:11:38
85,0.570,2024-10-04,05:11:38
86,0.556,2024-10-04,05:11:38
87,0.551,2024-10-04,05:11:38
88,0.546,2024-10-04,05:11:38
89,0.541,2024-10-04,05:11:38
90,0.534,2024-10-04,05:11:38
91,0.533,2024-10-04,05:11:38
92,0.525,2024-10-04,05:11:39
93,0.522,2024-10-04,05:11:39
94,0.546,2024-10-04,05:11:39
95,0.570,2024-10-04,05:11:39
96,0.573,2024-10-04,05:11:39
97,0.585,2024-10-04,05:11:39
98,0.588,2024-10-04,05:11:39
99,0.583,2024-10-04,05:11:39
100,0.595,2024-10-04,05:11:39
101,0.611,2024-10-04,05:11:39
102,0.614,2024-10-04,05:11:39
103,0.613,2024-10-04,05:11:39
104,0.610,2024-10-04,05:11:39
105,0.615,2024-10-04,05:11:39
106,0.611,2024-10-04,05:11:39
107,0.607,2024-10-04,05:11:39
108,0.599,2024-10-04,05:11:40
109,0.589,2024-10-04,05:11:40
110,0.576,2024-10-04,05:11:40
111,0.566,2024-10-04,05:11:40
112,0.583,2024-10-04,05:11:40
113,0.575,2024-10-04,05:11:40
114,0.573,2024-10-04,05:11:40
115,0.588,2024-10-04,05:11:40
116,0.596,2024-10-04,05:11:40
117,0.606,2024-10-04,05:11:40
118,0.623,2024-10-04,05:11:40
119,0.616,2024-10-04,05:11:40
120,0.619,2024-10-04,05:11:40
121,0.602,2024-10-04,05:11:40
122,0.584,2024-10-04,05:11:40
123,0.610,2024-10-04,05:11:40
124,0.613,2024-10-04,05:11:41
125,0.622,2024-10-04,05:11:41
126,0.640,2024-10-04,05:11:41
127,0.601,2024-10-04,05:11:41
128,0.630,2024-10-04,05:11:41
129,0.610,2024-10-04,05:11:41
130,0.618,2024-10-04,05:11:41
131,0.610,2024-10-04,05:11:41
132,0.564,2024-10-04,05:11:41
133,0.575,2024-10-04,05:11:41
134,0.560,2024-10-04,05:11:41
135,0.543,2024-10-04,05:11:41
136,0.463,2024-10-04,05:11:41
137,0.399,2024-10-04,05:11:41
138,0.362,2024-10-04,05:11:41
139,0.306,2024-10-04,05:11:41
140,0.255,2024-10-04,05:11:42
141,0.250,2024-10-04,05:11:42
142,0.260,2024-10-04,05:11:42
143,0.256,2024-10-04,05:11:42
144,0.274,2024-10-04,05:11:42
145,0.290,2024-10-04,05:11:42
146,0.294,2024-10-04,05:11:42
147,0.304,2024-10-04,05:11:42
148,0.327,2024-10-04,05:11:42
149,0.349,2024-10-04,05:11:42
150,0.371,2024-10-04,05:11:42
151,0.376,2024-10-04,05:11:42
152,0.372,2024-10-04,05:11:42
153,0.376,2024-10-04,05:11:42
154,0.372,2024-10-04,05:11:42
155,0.366,2024-10-04,05:11:42
156,0.367,2024-10-04,05:11:43
157,0.370,2024-10-04,05:11:43
158,0.366,2024-10-04,05:11:43
159,0.362,2024-10-04,05:11:43
160,0.349,2024-10-04,05:11:43
161,0.339,2024-10-04,05:11:43
162,0.338,2024-10-04,05:11:43
163,0.345,2024-10-04,05:11:43
164,0.352,2024-10-04,05:11:43
165,0.344,2024-10-04,05:11:43
166,0.338,2024-10-04,05:11:43
167,0.345,2024-10-04,05:11:43
168,0.354,2024-10-04,05:11:43
